FRH10  (2766,1768)  (2718,1805)  (2718,1757)  (2814,1748)  (2862,1753)  | overflowToLeft=false
FDK11  (1511,645)  (1463,692)  (1463,644)  (1558,693)  (1511,597)  (1559,597)  (1559,645)  (1461,596)  (1510,740)  (1462,740)  (1415,692)  (1415,644)  (1590,741)  (1414,741)  (1509,549)  (1557,549)  (1605,549)  (1607,597)  (1607,645)  (1413,596)  (1449,548)  (1653,503)  (1542,788)  (1494,788)  (1593,789)  (1446,789)  (1502,501)  (1550,501)  (1598,501)  (1701,508)  (1545,836)  (1497,836)  (1608,837)  (1536,453)  (1749,527)  | overflowToLeft=false
FZ13  (3327,2009)  (3279,2056)  (3279,2008)  (3374,2057)  (3327,1961)  (3375,1961)  (3375,2009)  (3277,1960)  (3326,2104)  (3278,2104)  (3231,2056)  (3231,2008)  (3422,2057)  (3422,2105)  (3374,2105)  (3230,2105)  (3325,1913)  (3373,1913)  (3421,1913)  (3423,1961)  (3423,2009)  (3229,1960)  (3229,1912)  (3277,1912)  (3469,1867)  (3326,2152)  (3278,2152)  (3470,2057)  (3470,2105)  (3470,2153)  (3422,2153)  (3374,2153)  (3230,2153)  (3325,1865)  (3373,1865)  (3421,1865)  (3471,1915)  (3471,1963)  (3181,1945)  (3181,1897)  (3229,1864)  (3277,1864)  (3166,1849)  (3182,2183)  (3469,1819)  (3326,2200)  (3278,2200)  (3500,2201)  (3452,2201)  (3404,2201)  (3230,2201)  | overflowToLeft=false
FZ16  (2470,1995)  (2422,2042)  (2422,1994)  (2495,2043)  (2517,1947)  (2518,1995)  (2565,1942)  | overflowToLeft=false
FZ15  (2734,1971)  (2686,2018)  (2686,1970)  (2781,2019)  (2734,1923)  (2782,1923)  (2782,1971)  (2684,1922)  (2733,2066)  (2685,2066)  (2829,2019)  (2732,1875)  (2780,1875)  (2680,1874)  (2690,2114)  | overflowToLeft=false
FZ18  (1219,1909)  (1171,1956)  (1171,1908)  (1266,1957)  (1219,1861)  (1267,1861)  (1267,1909)  (1169,1860)  (1218,2004)  (1170,2004)  (1123,1956)  (1123,1908)  (1314,1957)  (1314,2005)  (1122,2005)  (1315,1831)  (1315,1879)  (1121,1860)  (1073,1862)  | overflowToLeft=false
FZ17  (1179,1645)  (1131,1692)  (1131,1644)  (1226,1693)  (1179,1597)  (1227,1597)  (1227,1645)  (1129,1596)  (1178,1740)  (1130,1740)  (1083,1692)  (1083,1644)  (1274,1693)  (1274,1741)  (1226,1741)  (1082,1741)  (1275,1592)  (1275,1640)  (1081,1596)  (1081,1548)  (1129,1548)  (1035,1693)  (1035,1645)  (1322,1688)  (1322,1736)  (1034,1757)  (1323,1559)  (1323,1607)  (1033,1597)  (1033,1549)  (1066,1500)  (987,1709)  (1370,1655)  (1370,1703)  (1370,1751)  (986,1757)  | overflowToLeft=false
FZ1  (97,1759)  (144,1807)  (96,1807)  (54,1711)  (102,1711)  (145,1759)  (150,1706)  (147,1855)  (99,1855)  (54,1663)  (102,1663)  (198,1699)  (81,1903)  (54,1615)  (54,1567)  | overflowToLeft=false
FZ19  (1476,2336)  (1428,2383)  (1428,2335)  (1523,2384)  (1476,2288)  (1524,2288)  (1524,2336)  (1426,2287)  (1475,2431)  (1427,2431)  (1380,2383)  (1380,2335)  (1571,2384)  (1571,2432)  (1523,2432)  (1379,2432)  (1572,2275)  (1572,2323)  (1395,2239)  (1620,2317)  | overflowToLeft=false
FZ3  (576,1749)  (528,1796)  (528,1748)  (623,1797)  (576,1701)  (624,1701)  (624,1749)  (526,1700)  (575,1844)  (670,1845)  (574,1653)  (622,1653)  (514,1652)  | overflowToLeft=false
FZ2  (349,1757)  (301,1804)  (301,1756)  (396,1805)  (349,1709)  (397,1709)  (397,1757)  (299,1708)  (253,1833)  (253,1785)  (444,1819)  | overflowToLeft=false
FZ5  (1607,3406)  (1559,3453)  (1559,3405)  (1654,3454)  (1607,3358)  (1655,3358)  (1655,3406)  (1557,3357)  (1511,3500)  (1511,3452)  (1702,3454)  (1700,3310)  (1703,3358)  (1703,3406)  (1509,3404)  (1569,3309)  (1748,3299)  (1463,3500)  (1463,3452)  (1750,3468)  | overflowToLeft=false
FZ4  (836,1755)  (788,1780)  (884,1722)  (884,1770)  (920,1818)  (740,1774)  (968,1820)  | overflowToLeft=false
FZ7  (1606,2797)  (1558,2829)  (1558,2781)  (1615,2749)  (1654,2797)  (1510,2830)  (1510,2782)  (1702,2784)  | overflowToLeft=false
FZ6  (1589,2987)  (1541,3004)  (1541,2956)  (1636,3035)  (1589,2939)  (1637,2939)  (1637,2987)  (1588,3052)  (1509,2908)  (1647,3083)  (1685,2928)  (1599,3100)  (1663,3131)  (1615,3148)  (1650,3196)  (1602,3196)  (1648,3244)  | overflowToLeft=false
FZ9  (1924,123)  (1876,170)  (1876,122)  (1971,171)  (1924,75)  (1972,75)  (1972,123)  (1874,74)  (1923,218)  (1990,219)  (2020,51)  (1826,61)  (1942,266)  (1994,267)  (2068,51)  (1946,314)  (2030,315)  (2116,51)  (2164,51)  (2212,51)  | overflowToLeft=false
FZ8  (1633,2606)  (1674,2654)  (1626,2654)  (1606,2558)  (1654,2558)  (1681,2606)  (1625,2510)  | overflowToLeft=false
OT2  (2978,3042)  (2930,3089)  (2930,3041)  (3025,3090)  (2978,2994)  (3026,2994)  (3026,3042)  (2928,2993)  (2977,3137)  (2929,3137)  (2882,3081)  (3073,3090)  (3073,3138)  (3025,3138)  (2976,2946)  (3024,2946)  (3072,2946)  (3074,2994)  (3074,3042)  (3120,2945)  (2968,3185)  (2920,3185)  (3122,2993)  | overflowToLeft=false
OT1  (2954,3330)  (2906,3305)  (2963,3378)  (2915,3378)  (2954,3282)  (3002,3282)  (3002,3330)  (2867,3417)  (2953,3426)  (3039,3234)  (3050,3282)  (3050,3330)  (2905,3465)  (2857,3465)  (2964,3474)  (3015,3496)  | overflowToLeft=false
OT3  (3364,2925)  (3316,2972)  (3316,2924)  (3411,2973)  (3364,2877)  (3412,2877)  (3412,2925)  (3314,2876)  (3363,3020)  (3268,3015)  (3268,2967)  (3459,2973)  (3459,3021)  (3411,3021)  (3445,2829)  (3460,2877)  (3460,2925)  (3266,2919)  (3266,2871)  (3261,2823)  (3493,2808)  (3220,3028)  (3220,2980)  (3471,3069)  (3423,3069)  (3218,2932)  (3218,2884)  (3170,2882)  | overflowToLeft=false
FEM11  (1370,3232)  (1322,3279)  (1322,3231)  (1417,3280)  (1370,3184)  (1418,3184)  (1418,3232)  (1320,3183)  (1369,3327)  (1321,3327)  (1465,3280)  (1442,3328)  (1368,3136)  (1416,3136)  (1464,3136)  (1466,3184)  (1466,3232)  (1275,3135)  (1273,3367)  (1394,3375)  (1346,3375)  (1323,3088)  (1371,3088)  (1419,3088)  (1467,3088)  (1514,3182)  (1514,3230)  (1251,3087)  (1298,3415)  (1250,3419)  (1384,3423)  (1336,3463)  (1288,3467)  | overflowToLeft=false
FOT11  (1819,2940)  (1771,2987)  (1771,2939)  (1866,2988)  (1819,2892)  (1867,2892)  (1867,2940)  (1769,2891)  (1818,3035)  (1770,3035)  (1914,2988)  (1914,3036)  (1866,3036)  (1722,3036)  (1817,2844)  (1865,2844)  (1913,2844)  (1915,2892)  (1915,2940)  (1962,2988)  (1962,3036)  (1910,2796)  | overflowToLeft=false
FOT10  (1823,3178)  (1775,3225)  (1775,3177)  (1870,3226)  (1823,3130)  (1871,3130)  (1871,3178)  (1773,3129)  (1727,3236)  (1727,3188)  (1884,3274)  (1898,3322)  (1850,3369)  (1907,3370)  (1802,3388)  (1859,3417)  (1910,3418)  (1911,3466)  | overflowToLeft=false
FEM10  (1319,2883)  (1271,2930)  (1271,2882)  (1366,2931)  (1319,2835)  (1367,2835)  (1367,2883)  (1269,2834)  (1318,2978)  (1270,2978)  (1223,2930)  (1414,2931)  (1414,2979)  (1366,2979)  (1222,2979)  (1317,2787)  (1365,2787)  (1413,2787)  (1415,2835)  (1415,2883)  (1266,2786)  | overflowToLeft=false
REL1  | overflowToLeft=false
